1;INJ;INJERTO DE TEJIDO CONECTIVO;250;1
2;QP;QUITAR PUNTOS;0;1
3;CIMP;CORONA SOBRE IMPLANTE METAL PROCELANA;400;2
4;CIZ;CORONA SOBREIMPLANTE DE ZIRCONIO;450;2
5;CMP;CORONA METAL PORCELANA;250;2
6;COC;CORONA CIRCONIA;350;2
7;COP;CORONA PROVISIONAL;250;2
8;GRCP;GRAN RECONSTRUCCION CON PERNO;80;3
9;GREC;GRAN RECONSTRUCCION;60;3
10;OBT;OBTURACION;40;3
11;PFV;PERNO DE FIBRA DE VIDRIO;20;3
12;REC;RECONSTRUCCIÓN;50;3
13;END1;ENDODONCIA 1 CONDUCTO;100;4
14;END2;ENDODONCIA 2 CONDUCTOS;120;4
15;END3;ENDODONCIA 3 CONDUCTOS;150;4
16;EXCOR;EXTRACCION CORDAL SIMPLE;60;5
17;EXIN;EXTRACCION DIENTE INCLUIDO;180;5
18;EXOD;EXTRACCION CON ODONTOSECCION;75;5
19;EXT;EXTRACCION SIMPLE;40;5
20;ADA;AÑADIR DIENTES ADICIONALES (UNIDAD);20;6
21;ADI;AÑADIR 1 DIENTE;50;6
22;BL;BLANQUEAMIENTO COMPLETO;350;6
23;CPU;CORTAR PUENTE;50;6
24;HG;HIGIENE;45;6
25;PA6+;PARCIAL DE 6 O MAS PIEZAS;400;6
26;PV;PRIMERA VISITA;0;6
27;REB;REBASE;80;6
28;REV;REVISION;0;6
29;VIS;VISITA SIMPLE;30;6
30;IMP;IMPLANTE;600;7
31;ORCB;CEMENTADO BRACKET POR ARCADA;250;8
32;ORE;ESTUDIO DE ORTODONCIA;150;8
33;ORRB;RETIRADA BRACKET;300;8
34;RVAP;REVISION APARATO ORTODONCIA;50;8
35;RVBK;REVISION DE ORTODONCIA BRACKET;65;8
36;RVO;REVISION SEGUIMIENTO ORTODONCIA;0;8
37;SD4;SOBREDENTADURA 4 IMPLANTES;3000;9
